Numero_de_pontos;Numero_de_cluster;Numero_de_Blobs;Semente;FOB_Algoritmo_Original;Tempo_Algoritmo_Original;
1.0e6;2.0;2.0;46370.0;2,00E+14;21.41;
1.0e6;2.0;4.0;46370.0;7,52E+14;300.59;
1.0e6;2.0;2.0;92139.0;2,00E+12;20.37;
1.0e6;2.0;4.0;92139.0;1,84E+16;2049.56;
1.0e6;2.0;2.0;10388.0;2,00E+14;22.15;
1.0e6;2.0;4.0;10388.0;2,01E+16;50.09;
1.0e6;2.0;2.0;85380.0;1,88E+14;55.11;
1.0e6;2.0;4.0;85380.0;1,91E+16;532.6;
1.0e6;2.0;2.0;57199.0;2,00E+14;14.27;
1.0e6;2.0;4.0;57199.0;1,65E+16;49.91;
1.0e6;2.0;2.0;6648.0;2,00E+14;13.89;
1.0e6;2.0;4.0;6648.0;2,89E+16;21.41;
1.0e6;2.0;2.0;3206.0;1,96E+14;553.66;
1.0e6;2.0;4.0;3206.0;6,78E+14;510.98;
1.0e6;2.0;2.0;96123.0;2,00E+14;21.51;
1.0e6;2.0;4.0;96123.0;3,09E+16;22.02;
1.0e6;2.0;2.0;54765.0;1,85E+13;554.26;
1.0e6;2.0;4.0;54765.0;1,13E+16;22.15;
1.0e6;2.0;2.0;11746.0;1,99E+14;28.35;
1.0e6;2.0;4.0;11746.0;1,96E+15;21.76;
