Numero_de_pontos;Numero_de_cluster;Numero_de_Blobs;Semente;FOB_Algoritmo_Proposto;FOB_Algoritmo_Original;FOB_BeB;Tempo_Algoritmo_Proposto;Tempo_Algoritmo_Original;Tempo_BeB
50.0;2.0;1.0;46370.0;65.15;67.12;65.15;0.04;0.0;28.27
50.0;2.0;2.0;46370.0;171.92;173.59;171.92;0.05;0.0;0.65
50.0;2.0;3.0;46370.0;720.47;728.24;637.92;0.09;0.0;0.15
50.0;2.0;4.0;46370.0;411.13;413.03;411.13;0.09;0.03;0.16
50.0;2.0;5.0;46370.0;423.44;562.29;568.49;0.21;0.0;0.42
100.0;2.0;1.0;46370.0;119.82;122.05;119.82;0.09;0.01;0.26
100.0;2.0;2.0;46370.0;231.26;236.62;231.26;0.2;0.0;0.5
100.0;2.0;3.0;46370.0;1354.23;1387.36;1201.85;0.3;0.18;0.69
100.0;2.0;4.0;46370.0;793.7;893.17;793.7;0.3;0.2;0.67
100.0;2.0;5.0;46370.0;760.2;781.31;760.2;0.21;0.13;0.57
250.0;2.0;1.0;46370.0;267.78;268.71;267.78;0.2;0.02;100.83
250.0;2.0;2.0;46370.0;472.5;472.91;472.5;0.28;0.15;0.41
250.0;2.0;3.0;46370.0;2965.45;2968.62;2965.45;0.25;0.11;2.51
250.0;2.0;4.0;46370.0;1920.37;2510.36;1920.37;1.36;0.12;1.2
250.0;2.0;5.0;46370.0;2464.11;2466.71;1946.57;0.28;0.01;0.38
500.0;2.0;1.0;46370.0;569.89;641.19;569.89;1.48;0.12;101.34
500.0;2.0;2.0;46370.0;944.99;945.51;NaN;0.44;0.01;14.93
500.0;2.0;3.0;46370.0;6205.43;6212.22;6205.43;1.61;0.1;3.67
500.0;2.0;4.0;46370.0;3607.3;3770.07;3607.3;0.57;0.27;0.57
500.0;2.0;5.0;46370.0;3799.31;4064.8;3799.31;0.38;0.04;4.04
1000.0;2.0;1.0;46370.0;1300.57;1300.71;1300.8;1.39;0.77;4.59
1000.0;2.0;2.0;46370.0;1913.97;1914.18;1913.97;0.35;0.02;101.53
1000.0;2.0;3.0;46370.0;11853.43;11862.57;11853.43;0.94;0.5;103.55
1000.0;2.0;4.0;46370.0;7478.4;7585.59;7478.4;0.84;0.1;105.69
1000.0;2.0;5.0;46370.0;7664.29;8324.05;7664.29;1.96;1.38;101.82
50.0;2.0;1.0;92139.0;63.98;67.68;63.98;0.05;0.0;26.81
50.0;2.0;2.0;92139.0;121.73;126.42;121.73;0.05;0.0;0.13
50.0;2.0;3.0;92139.0;775.83;895.0;775.83;0.18;0.02;0.12
50.0;2.0;4.0;92139.0;1017.01;1030.37;1017.01;0.1;0.03;0.18
50.0;2.0;5.0;92139.0;1668.1;1697.23;1658.76;0.26;0.19;0.29
100.0;2.0;1.0;92139.0;147.04;148.93;145.87;0.89;0.8;0.42
100.0;2.0;2.0;92139.0;208.14;208.36;208.14;0.07;0.0;0.54
100.0;2.0;3.0;92139.0;1260.18;1560.31;1260.18;0.15;0.0;0.14
100.0;2.0;4.0;92139.0;2043.64;2050.99;2043.64;0.15;0.07;0.23
100.0;2.0;5.0;92139.0;3184.66;3222.86;3184.66;0.13;0.0;0.64
250.0;2.0;1.0;92139.0;311.19;315.12;311.19;0.27;0.12;100.68
250.0;2.0;2.0;92139.0;494.57;494.66;494.57;0.17;0.0;1.0
250.0;2.0;3.0;92139.0;3046.26;3985.51;3046.26;0.33;0.01;101.55
250.0;2.0;4.0;92139.0;4725.07;4924.97;4725.56;0.4;0.18;2.07
250.0;2.0;5.0;92139.0;7436.81;7905.69;7436.81;0.22;0.0;1.17
500.0;2.0;1.0;92139.0;562.66;620.16;562.66;0.67;0.14;4.05
500.0;2.0;2.0;92139.0;907.77;908.37;907.77;0.19;0.01;1.86
500.0;2.0;3.0;92139.0;6244.28;7909.72;6244.28;0.44;0.01;0.78
500.0;2.0;4.0;92139.0;9021.4;9216.45;9021.4;0.49;0.22;117.42
500.0;2.0;5.0;92139.0;14564.64;15911.65;14564.64;0.33;0.01;2.92
1000.0;2.0;1.0;92139.0;1246.66;1261.14;1245.81;12.83;11.84;12.19
1000.0;2.0;2.0;92139.0;1917.85;1917.86;1917.85;0.66;0.04;1.07
1000.0;2.0;3.0;92139.0;11365.72;11650.69;11365.72;0.94;0.51;1.03
1000.0;2.0;4.0;92139.0;18849.27;19320.76;18849.33;1.07;0.44;4.49
1000.0;2.0;5.0;92139.0;30167.24;32140.5;30167.24;0.81;0.05;6.69
50.0;2.0;1.0;10388.0;57.71;70.43;57.71;0.16;0.02;12.9
50.0;2.0;2.0;10388.0;102.95;105.54;102.95;0.05;0.0;0.81
50.0;2.0;3.0;10388.0;698.93;701.48;698.93;0.12;0.0;0.24
50.0;2.0;4.0;10388.0;981.21;986.1;981.21;0.13;0.0;0.67
50.0;2.0;5.0;10388.0;1127.86;1132.96;1127.86;0.07;0.0;0.85
100.0;2.0;1.0;10388.0;126.17;132.44;130.6;0.11;0.0;0.28
100.0;2.0;2.0;10388.0;208.09;208.75;208.09;0.12;0.0;0.55
100.0;2.0;3.0;10388.0;1232.26;1233.04;1232.26;0.08;0.0;0.8
100.0;2.0;4.0;10388.0;1892.46;1894.06;1892.46;0.13;0.0;0.49
100.0;2.0;5.0;10388.0;2615.56;2616.22;2615.56;0.11;0.0;0.54
250.0;2.0;1.0;10388.0;341.41;341.76;NaN;0.24;0.13;6.46
250.0;2.0;2.0;10388.0;536.67;536.84;536.67;0.11;0.0;110.02
250.0;2.0;3.0;10388.0;3213.37;3214.04;3213.37;0.13;0.01;0.96
