Dimensao_de_X;Numero_de_pontos;Numero_de_cluster;Numero_de_Blobs;Semente;FOB_Algoritmo_Proposto;FOB_Algoritmo_Original;FOB_BeB;Tempo_Algoritmo_Proposto;Tempo_Algoritmo_Original;Tempo_BeB
30.0;50.0;2.0;2.0;46370.0;2533.36;2581.37;NaN;0.09;0.0;1.77
30.0;50.0;2.0;3.0;46370.0;22417.99;22453.41;21222.72;0.09;0.0;4.79
30.0;50.0;2.0;5.0;46370.0;35223.32;35267.48;33329.11;0.06;0.0;0.56
30.0;250.0;2.0;2.0;46370.0;8607.04;8615.31;NaN;1.41;0.01;17.82
30.0;250.0;2.0;3.0;46370.0;119618.64;119625.27;110061.33;0.94;0.01;40.98
30.0;250.0;2.0;5.0;46370.0;157835.5;157866.09;156843.62;1.2;0.42;5.98
30.0;1000.0;2.0;2.0;46370.0;31063.61;31065.23;NaN;2.68;0.02;104.12
30.0;1000.0;2.0;3.0;46370.0;427767.31;427815.13;NaN;4.82;0.76;434.1
30.0;1000.0;2.0;5.0;46370.0;624243.32;624263.95;662560.12;3.68;0.07;92.2
30.0;50.0;2.0;2.0;92139.0;2239.3;2283.29;2239.3;0.22;0.14;0.57
30.0;50.0;2.0;3.0;92139.0;16864.88;16913.48;16864.88;0.08;0.0;0.47
30.0;50.0;2.0;5.0;92139.0;31900.8;31968.85;30763.21;0.11;0.0;0.58
30.0;250.0;2.0;2.0;92139.0;8565.86;8573.59;NaN;0.67;0.01;63.12
30.0;250.0;2.0;3.0;92139.0;87446.72;87468.06;108407.39;0.95;0.19;10.17
30.0;250.0;2.0;5.0;92139.0;154654.05;154663.51;149134.58;0.82;0.01;10.39
30.0;1000.0;2.0;2.0;92139.0;30731.96;30733.88;NaN;2.46;0.05;65.41
30.0;1000.0;2.0;3.0;92139.0;350094.9;350126.91;350094.9;4.33;0.03;141.82
30.0;1000.0;2.0;5.0;92139.0;582213.91;582291.67;589702.92;4.4;1.0;62.64
30.0;50.0;2.0;2.0;10388.0;2230.24;2277.31;2230.24;0.12;0.0;0.52
30.0;50.0;2.0;3.0;10388.0;25025.53;25095.12;25935.62;0.07;0.0;0.63
30.0;50.0;2.0;5.0;10388.0;34226.74;34277.18;32493.69;0.22;0.0;0.57
30.0;250.0;2.0;2.0;10388.0;8478.26;8486.13;NaN;0.62;0.0;7.11
30.0;250.0;2.0;3.0;10388.0;147429.8;147503.43;115755.03;1.09;0.2;123.57
30.0;250.0;2.0;5.0;10388.0;152716.56;152734.94;152168.55;0.99;0.23;16.32
30.0;1000.0;2.0;2.0;10388.0;30821.86;30824.25;NaN;2.15;0.01;46.92
30.0;1000.0;2.0;3.0;10388.0;520555.5;521299.73;520555.5;4.54;0.03;92.83
30.0;1000.0;2.0;5.0;10388.0;607071.59;607149.98;NaN;3.39;0.06;589.52
30.0;50.0;2.0;2.0;85380.0;2233.31;2277.18;2233.31;0.11;0.0;0.78
30.0;50.0;2.0;3.0;85380.0;21378.23;21470.3;18977.3;0.12;0.04;0.51
30.0;50.0;2.0;5.0;85380.0;28856.92;28925.63;28655.46;0.09;0.0;0.61
30.0;250.0;2.0;2.0;85380.0;8367.38;8378.09;NaN;0.82;0.01;64.98
30.0;250.0;2.0;3.0;85380.0;110762.84;110793.39;100907.66;1.02;0.01;29.63
30.0;250.0;2.0;5.0;85380.0;153818.6;153848.75;134242.55;0.84;0.01;10.48
30.0;1000.0;2.0;2.0;85380.0;30658.84;30661.59;NaN;2.31;0.03;553.83
30.0;1000.0;2.0;3.0;85380.0;447711.98;447740.64;447712.47;3.1;0.07;142.89
30.0;1000.0;2.0;5.0;85380.0;534432.8;534543.44;534432.8;3.94;0.88;194.66
30.0;50.0;2.0;2.0;57199.0;2252.8;2301.16;2252.8;0.07;0.0;0.86
30.0;50.0;2.0;3.0;57199.0;25536.11;25588.23;25536.11;0.11;0.0;3.03
30.0;50.0;2.0;5.0;57199.0;32764.94;32811.58;32764.94;0.07;0.0;0.61
30.0;250.0;2.0;2.0;57199.0;8251.18;8260.27;NaN;0.56;0.0;68.59
30.0;250.0;2.0;3.0;57199.0;123248.58;123279.55;124717.76;0.94;0.01;110.65
30.0;250.0;2.0;5.0;57199.0;178659.47;178668.34;161738.76;0.85;0.01;19.86
30.0;1000.0;2.0;2.0;57199.0;30589.83;30592.25;NaN;2.1;0.03;25.65
30.0;1000.0;2.0;3.0;57199.0;496407.37;496479.05;496470.08;3.09;0.1;175.54
30.0;1000.0;2.0;5.0;57199.0;637780.13;637803.17;668688.73;5.0;0.05;391.12
